Site,Date,NDVI,NDVI_mean,usrt_strv_mean,Alltrail_nb_revw,HFI,HFIperc,Density_trail,PLUZ_NAME,TYPE,vegclass,UTM,UTM_mE,UTM_mN,Latitude,Longitude,Elevation,buffer_area,forest_perc,distance_water,distance_trail,distance_trail_m,Use_Type,season
92,2021-06-01,0.643966666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2021-07-01,0.738541666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2021-08-01,0.688016666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
192,2019-08-01,0.584241666666667,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2019-09-01,0.572583333333333,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2019-10-01,0.190291666666667,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2019-11-01,0.245875,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2020-05-01,0.508291666666667,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2020-06-01,0.430841666666667,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
192,2020-07-01,0.6619,0.41910522875817,0,0,32709.19146715,4.16466447166277,0.00525278024428281,Kiska/Willson,PLUZ,Developed,11U,573027,5770291,52.0784,-115.934,1655,785039.343644265,54.8971253390297,30.1240399452235,115.239864592426,115.239864592426,Non-Motorized,summer
